Date,Title,Teaser,Date_Link
28.04.2020,"Ein Kinder-Infektiologe erklärt, was Eltern vor dem Schulstart wissen sollten","In der Schweiz gilt wie überall: Kinder erkranken viel weniger häufig und weniger schwer am Coronavirus als Erwachsene. Inzwischen wisse man, dass es bei den Kindern keine Risikogruppen gebe, sagt der Infektiologe Christoph Berger vom Universitäts-Kinderspital Zürich. Er schliesst nicht aus, dass Grosseltern ihre Enkel wieder sehen.",29.04.2020
28.04.2020,Kantone und Krankenkassen streiten: Wer bezahlt die zusätzlichen Corona-Kosten?,False,29.04.2020
28.04.2020,"29 000 bestätigte Infektionen, BAG: Grosseltern können mit Kindern Körperkontakt haben – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,29.04.2020
28.04.2020,Umdenken bei den grossen Vermietern: Zwangsgeschlossenen Kleinbetrieben sollen zwei Monatsmieten erlassen werden,False,29.04.2020
27.04.2020,"Es wird Zeit, die Parkanlagen in Zürich wieder zu öffnen – denn die Sperrzonen bestrafen die Falschen",False,29.04.2020
27.04.2020,«Die Anlagen müssen schnell wieder aufgehen» – der Streit um das Zürcher Seebecken ist entbrannt,False,29.04.2020
28.04.2020,"Ein Kinder-Infektiologe erklärt, was Eltern vor dem Schulstart wissen sollten","In der Schweiz gilt wie überall: Kinder erkranken viel weniger häufig und weniger schwer am Coronavirus als Erwachsene. Inzwischen wisse man, dass es bei den Kindern keine Risikogruppen gebe, sagt der Infektiologe Christoph Berger vom Universitäts-Kinderspital Zürich. Er schliesst nicht aus, dass Grosseltern ihre Enkel wieder sehen.",28.04.2020
28.04.2020,Kantone und Krankenkassen streiten: Wer bezahlt die zusätzlichen Corona-Kosten?,False,28.04.2020
28.04.2020,"29 000 bestätigte Infektionen, BAG: Grosseltern können mit Kindern Körperkontakt haben – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,28.04.2020
28.04.2020,Umdenken bei den grossen Vermietern: Zwangsgeschlossenen Kleinbetrieben sollen zwei Monatsmieten erlassen werden,False,28.04.2020
27.04.2020,"Es wird Zeit, die Parkanlagen in Zürich wieder zu öffnen – denn die Sperrzonen bestrafen die Falschen",False,28.04.2020
27.04.2020,«Die Anlagen müssen schnell wieder aufgehen» – der Streit um das Zürcher Seebecken ist entbrannt,False,28.04.2020
27.04.2020,"BAG: Grosseltern können mit Kindern Körperkontakt haben, unmittelbarer Anstieg der Fallzahlen nicht zu erwarten – die neusten Entwicklungen zum Coronavirus in der Schweiz","Bisher sind in der Schweiz 28 879 Personen positiv auf das Coronavirus getestet worden, 1641 Personen sind an der Lungenkrankheit Covid-19 gestorben.",27.04.2020
27.04.2020,"«Niemand weiss, wie lange die Sache hält» – wie das Spitalpersonal die Rückkehr aus dem Corona-Notfallmodus erlebt",False,27.04.2020
27.04.2020,"Öffnungen nach dem Lockdown: Gartencenter läuten den Frühling ein, Velohändler sind verärgert, und Coiffeure setzen auf Masken",False,27.04.2020
27.04.2020,Marcel Ospels steilem Aufstieg folgte der Fall ins Bodenlose,False,27.04.2020
27.04.2020,Marcel Ospel hat eine Karriere wie kaum ein anderer Banker durchlaufen. Aber auch kein anderer ist so tief gefallen – seine Karriere in Bildern,False,27.04.2020
26.04.2020,Marcel Ospel ist tot,False,27.04.2020
26.04.2020,«Watches & Wonders»: ein virtueller Uhrensalon als kleiner Lichtblick in der Uhrenkrise,Vor zwei Monaten mussten die beiden für Ende April geplanten grossen Uhrenmessen wegen der Corona-Krise abgesagt werden. Dank einer Digitalisierungs-Blitzoffensive findet nun seit Samstag der Genfer Salon im Netz statt.,26.04.2020
False,"«Respekt für die Alten? Wofür?» – Philosoph Ludwig Hasler über den Unsinn, dass seine Generation mit verbilligten Tickets alle Züge verstopft",False,26.04.2020
25.04.2020,Das Schweizer Fernsehen berichtet staatsmännisch über die staatlichen Corona-Massnahmen: Wo bleibt die Kritik?,False,26.04.2020
26.04.2020,"Regierung und Tourismusbranche zufrieden mit Gesprächen, Maturanden wollen Prüfungen streichen – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,26.04.2020
26.04.2020,Grüne wollen mit Milliardeninvestitionen die Corona-Krise bewältigen und das Klima retten,False,26.04.2020
26.04.2020,Autoritäre Herrscher auf dem Balkan: Orbans Schüler im Südosten,False,26.04.2020
25.04.2020,Corona-Krise: Warum Frankreich besorgt nach Deutschland schielt,False,26.04.2020
False,Absperrgitter und Kleinstgruppen: So funktioniert die Schulöffnung in Dänemark,False,26.04.2020
25.04.2020,Die grösste Gefahr ist ein schwaches China,False,26.04.2020
26.04.2020,"Italien lockert die Massnahmen, Frankreich zählt so wenig Tote an einem Tag wie nie seit einem Monat – die neusten Entwicklungen zum Coronavirus weltweit",False,26.04.2020
26.04.2020,Fledermäuse sind die ursprünglichen Wirte einer ganzen Reihe gefährlicher Erreger,False,26.04.2020
26.04.2020,Die Datenlage von Covid-19 ist höchst unsicher – und damit der Schwachpunkt eines guten Risikomanagements,False,26.04.2020
25.04.2020,"Wie kommt man aus dem Lockdown, ohne das Erreichte zu verspielen?",False,26.04.2020
24.04.2020,Für diesen Psychiater klingt vieles in der Corona-Krise zu alarmistisch. Und er weiss: «Die Praxen der Psychotherapeuten sind halb leer»,False,25.04.2020
25.04.2020,Die Angst vor der zweiten Welle nimmt zu,False,25.04.2020
25.04.2020,Nationalrätliche Finanzkommission befürwortet Covid-19-Notkredite – die neusten Entwicklungen zum Coronavirus in der Schweiz,False,25.04.2020
25.04.2020,Das Coronavirus zersetzt Freiheiten und Demokratie – einigen Autokraten in Südostasien kommt das gelegen,False,25.04.2020
False,Frankreichs Zentralstaat versagt in der Corona-Bekämpfung,False,25.04.2020
25.04.2020,"Zahl der Toten in Grossbritannien steigt auf über 20 000, Spitzengespräch zu Rettungspaket für die Lufthansa geplant – die neusten Entwicklungen zum Coronavirus weltweit",False,25.04.2020
25.04.2020,Worüber Fox News und Trump plötzlich schweigen,False,25.04.2020
25.04.2020,"Wie kommt man aus dem Lockdown, ohne das Erreichte zu verspielen?",False,25.04.2020
25.04.2020,Das Coronavirus als blinder Passagier,False,25.04.2020
24.04.2020,«Einen Impfstoff werden wir frühestens in 15 Monaten haben – und vorher gibt es keine Fussballspiele mit Zuschauern und keine Konzerte»,False,25.04.2020
24.04.2020,"«In ganz Afrika gibt es höchstens 500 Beatmungsgeräte», sagt ein Malaria-Experte. Doch die grosse Katastrophe in Afrika ist nicht Covid-19","In Europa dominiert Sars-CoV-2 die Schlagzeilen. In Afrika indes dürfte nicht das Virus, sondern Kollateralschäden die meisten Todesopfer fordern, erklärt der Malaria-Experte Christian Lengeler im Gespräch mit der NZZ.",24.04.2020
24.04.2020,Tests in New York legen nahe: Es gibt viel mehr Infizierte als vermutet,False,24.04.2020
24.04.2020,"Grosser Auftritt, ohne Zweifel: Es schlägt die Stunde der Star-Virologen",False,24.04.2020
24.04.2020,"Trump bezeichnet seine Äusserung zu Injektion von Desinfektionsmitteln als Sarkasmus, Google und Apple stärken Datenschutz bei Plattform für Corona-Apps – die neusten Entwicklungen zum Coronavirus weltweit",False,24.04.2020
24.04.2020,Italiens Notbudget sprengt alle Grenzen – mit einer Geldflut wird das Coronavirus bekämpft,False,24.04.2020
24.04.2020,"Die Grösse der Schweiz ist ihre Kleinheit, namentlich in Krisenzeiten – dem gilt es Sorge zu tragen",False,24.04.2020
24.04.2020,"BAG: Tendenz bei den Fallzahlen weiterhin gut, Rückholaktion für im Ausland gestrandete Schweizer endet kommende Woche – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,24.04.2020
